V4,V5,V7,V9,V10,V11,V13,V16,V17,V18,V19,V21,V22,V23,V27,V29,V30
216.09,174.48,256.81,251.71,106.18,219.51,214.65,136.5,304.43,273.21,251.63,199.82,135.36,169,278.91,256.4,204.84
252.7,201.75,265.89,290.14,104.89,223.46,243,176.34,353.76,193.96,174.81,237.37,115.12,192.79,260.12,239.42,200.78
240.02,196.69,259.12,259.06,81.6,216.5,226.36,158.47,290.08,244.88,188.25,216.79,105.38,185.68,263.01,218.12,192.2730727
226.23,190.24,238.34,253.35,97.25,207.52,236.03,167.82,301.01,211.58,195.9,234.72,116.26,199.01,251.87,210.89,181.72
259.79,213.79,324.37,262.03,99.29,200.47,241.92,160.13,268.84,197.37,177.67,215.23,107.61,190.1,244.34,228.8,178.12
298.25,238.11,326,304.66,110.36,247.43,270.47,179.61,361.1,218.21,212.76,232.0620377,219.74,212.06,286.55,260.46,207.47
282.52,214.33,283.78,288.45,105.14,231.08,264.28,167.99,293.45,214.54,211.38,288.52,293.05,210.22,297.02,248.19,214.04
243.64,187.23,300.33,276.62,104.06,187.33,261.23,144.96,294.4,263.45,155.61,203.68,265.87,165.47,268.61,246.32,238.33
279.12,187.56,288.8,278.48,91.82,151.55,256.74,117.5,308.29,247.34,124.46,200.75,220.1,129.04,239.9,168.53,167.35
238.9,139.2,270.08,242.36,86.54,172.71,222.36,119.77,283.1,232.95,109.15,165.55,231.88,145.66,218.27,152.56,188.63
221.25,103.37,111.18,221.22,92.79,199.62,207.55,109.34,247.36,203.87,143.8,189.24,222.83,124.09,230.6,131.12,178.4
196.17,111.53,116.2,218.77,98.7,195.21,187.25,111.72,249.66,297.48,154,169.71,213.13,136.55,241.93,138.48,175.24
210.1,104.83,161.63,230.95,79.68,177.17,194.28,95.03,221.65,316.11,123.6,144.21,202.14,105.18,203.32,127.71,143.97
177.51,97.33,250.04,214.32,84.57,176.09,177.25,105.31,301.11,285.88,131.42,167.22,205.99,124.92,199.55,111.67,137.02
147.64,78.89,208.2,172.97,53.09,145.47,139.66,79.62,249.58,153.87,96.89,137.84,125.74,76.32,153.18,74.97,104.41
163.48,93.34,226.02,200.57,60.91,137.65,153.92,79.68,216.31,147.26,94.28,141.73,135.11,92.14,218.3,137.88,105.38
146.35,92.68,292.45,211.5,57.91,180.47,129.47,109.84,244.22,188.9,67.02,165.75,149.7,95.11,232.33,126.81,106.8073034
139.87,72.24,186.07,142.78,36.38,116.17,112.97,63.73,178.64,172.79,57.7,177.55,102.49,62.35,130.05,92.59,86
162.25,93.77,306.83,237.54,63.09,177.68,157.02,89.04,265.88,177.89,127.81,179.6,173.03,88.41,262.22,151.81,172.85
182.12,99.26,270.82,233.55,76.67,195.23,162.71,112.53,238.95,180,152.94,160.86,169.66,105.18,257.49,143.73,146.08
199.46,127.76,293.73,228.06,79.68,200.23,192.59,124.51,243.38,265.14,116.11,196.04,212.08,135.83,214.35,163.74,174.71
235.89,147.85,315.69,277.84,95.59,218.28,226.95,148.41,309.2,262.37,178.86,225.6,244.75,173.45,281.69,228.56,192.94
230.88,143.69,347.21,297.14,104.33,245.64,214.35,144.59,367.91,252.61,180.97,221.74,234.18,135.24,296.39,256.98,171.38
191.64,115.51,365.57,231.13,69.79,195.43,185.07,111.04,253.14,233.03,178.27,161.88,175.1,108.99,231.7,239.6341866,171.43
247.34,165.19,323.8,291.77,90.82,254.85,237.94,165.21,297.67,273.26,245.94,271.19,287.27,184.62,292.4,253.46,192.23
248.49,178.04,319.96,260.25,92.06,218.05,230.62,164.83,232.36,248.59,216.48,212.77,265.2,167.28,267.6,227.01,198
226.11,139.31,295.99,258.12,80.66,225.7,214.49,144.65,228.91,203.17,204.67,221.49,247.96,142.55,264.31,222.19,158.16
227.42,148.49,314.71,281.09,86.06,237.6,221.21,142.36,257.63,281.72,191.47,250.64,225.54,160.39,282.97,230.36,154.18
224.75,131.02,311.26,290.91,76.78,213.93,225.74,135.03,250.77,297.18,180.22,260.9,211.36,145.43,287.88,226.66,158.45
190.47,103.42,307.89,248.01,90.47,200.56,190.85,111.8,235.26,272.55,171.06,175.03,221.62,130.1,265.12,202.36,155.78
165.76,104.96,315.46,224.29,78.38,163.01,170.16,97.8,263.2,216.5909487,157.23,211.1511838,220.59,111.79,276.84,191.64,159.15
198.24,118.39,229.02,218.46,76.09,192.7,249.98,117.9,225.2,157.7,175.25,232.98,209.32,138.39,218.58,193.82,146.57
180.74,96.06,339.1,200.15,87.07,175.32,152.13,100.25,197.33,146.76,178.1,183.16,211.67,128.53,216.82,170.65,155.02
166.73,93.19,263.74,219.48,74.53,171.06,164.18,126.14,265.37,167.31,142.47,205.65,188.16,132.95,268.44,191.38,146.06
184.95,103.84,271.5,214.77,86.28,208.68,167.57,115.97,236.25,213.52,165.01,196.03,237.37,123.07,267.26,182.82,162.99
211.55,105.45,258.5,188.7,73.13,166.63,170.39,103.58,261.96,154.15,157.71,172.31,162.14,105.11,192.22,156.65,114.56
191.9,108.31,260.68,188.2,62.52,156.84,166.41,95.3,232.96,141.73,172.69,151.45,162.43,93.89,198.56,189.85,125.28
156.6,111.28,247.65,143.35,56.09,156.22,124.06,77.91,134.99,165.54,168.49,129.38,162.8,95.13,167.5,132.1,110.13
194.51,67.01,181.49,163.9,76.86,148.16,172.92,73.57,121.44,147.24,170.72,194.4344954,227.2,93.78,247.48,158.73,136.63
193.66,122.91,286.53,224.31,78.72,190.05,179.65,107.79,215.25,160.4,161.74,255.47,203.13,130.63,199.04,189.37,122.31
189.18,159.14,296.43,255.49,89.4,205.62,192.03,122.16,266.69,230.54,159.53,232.64,225.6,142.86,332.12,222.06,155.97
202.62,104.98,374.55,268.46,103.1,219.4,192.4,119.24,309.48,233.36,170.43,225.11,291.98,151.08,370.39,257.45,212.18
210.93,120.84,336.09,289.71,90.93,235.72,201.3,137.62,331.71,252.75,183.79,214.15,230.48,163.95,331.02,241.59,161.93
165.55,116.61,232.6,183.92,67.61,163.1,145,103.39,201.15,241.51,136.92,214.8,173.16,120.15,222.78,140.41,116.48
169.6,107.37,230.22,164.23,47.21,142.07,131.36,95.08,173.12,230.32,46.14,226.05,134.98,101.85,179.62,130.91,92.85
144.64,83.84,194.75,132.07,45.23,91.52,121.65,62.71,150.49,111.24,42.07,166.34,109.27,74.89,130.99,96.56,77.08
129.82,68.15,127.13,112.82,39.28,76.87,96.96,64.56,114.79,166.73,33.92,123.64,111.04,59.41,110.51,89.27,71.06
