V4,V5,V7,V9,V10,V11,V13,V16,V17,V18,V19,V21,V22,V23,V27,V28,V29,V30
48.95,133.31,115.13,79.83,82.79,131.13,128.72,69.28,151.17,218.61,189.61,111.8,61.36,116.86,88.95,84.14,157.96,148.01
62.07,170.15,134.38,93.85,69.68,132.8,153.63,92.97,175.04,142.57,134.46,124.94,52.16,137.92,96.12,92.24,144.01,154.61
59.22,151.04,121.07,81.69,60.34,127.26,135.13,82.51,146.74,149.55,143.62,122.14,47.77,125.44,98.7,87.51,126.65,136.3796278
80.58,153.25,109.92,78.85,78.82,119.78,134.54,86.44,145.53,140.9,147.73,121.41,52.16,130.08,118.8,86.95,117.45,117.55
143.75,174.74,151.85,79.48,74.95,117.58,141.58,83.37,145.61,136.41,135.94,122.02,50.62,130.25,111.25,90.36,128.21,122.35
154.38,200.5,151.76,98.73,76.12,145.43,166.24,92.8,176.41,158.64,158.74,134.64,104.98,150.15,112.44,87.12630139,154.15,152.82
153.35,185.45,137.46,92.12,63.48,140.5,155.54,86.22,158.18,152.6,159.54,133.88,171.31,143.01,108.68,85.31953208,149.11,154
135.53,181.7,137.05,90.77,66.26,111,176.34,76.08,154.32,169.83,116.96,110.08,191.13,116.68,73.94,81,159.63,191.5
143.35,163.67,135.88,84.41,54.23,90.3,151.17,61.65,141.76,163.72,93.32,90.76,158.49,88.32,96.06,91.38,142.26,118.96
109.36,126.65,122.29,72.66,60.19,101.06,135.46,60.67,200.6,161.95,77.98,91.92,163,94.54,82.72,78.29,135.2,139.29
98.81,85.24,49.94,64.45,61.36,117.47,112.7,52.31,99.7,153.16,93.82,84.57,153.59,76.28,85.26,83.78,127.07,128.51
103.46,86.91,51.1,61.17,68.67,116.84,102.4,53.31,108.81,117.38,104.27,78.54,134.58,81.91,110.37,83.56,109.22,117.02
105.28,72.98,71.53,62.22,50.21,106.11,101.52,44.58,105,107.95,80.31,63.71,113.01,64.78,88.41,65.14,91.89,100.9
89.29,66.84,109.38,57.36,52.13,101.06,91.3,51.14,103.14,121.2,87.01,74.24,102.85,74.97,87.46,77.62,88.44,104.16
68.12,54.14,91.55,46.17,30.39,85.68,69.68,39.72,78,95.26,67.74,57.94,60.46,59.86,65.83,86.57,57.76,68.72
63.07,57.75,101.02,54.79,35.96,80.08,80.61,39.23,88.18,109.74,64.18,61.27,74.73,63.65,83.92,84.58031648,95.84,72.13
69.93,59.15,134.18,56.14,31.16,108.27,67.04,56.61,92.57,154.58,47.84,87.66,85.32,66.61,78.29,85.20184734,99.55,84.32
56.74,37.77,85.03,34.85,18.22,70.77,47.27,32.6,54.01,101.72,41.88,47.36,42.11,38.98,44.9,85.8233782,45.97,43.53
100.11,59.32,141.15,62.85,35.56,107.79,70.68,46.26,96.6,134.55,88.41,60.83,76.8,55.41,99.85,89.78,88.4,84.11
83.12,56.11,124.1,55.64,49.19,119.58,73.46,59.71,93.19,133.23,111.5,60.99,106.34,60.89,93.1,72.89,89.15,84.01
109.28,93.47,134.18,64.47,45.97,123.06,105.42,65.22,109.31,141.09,83.24,86.34,126.12,87.57,79.11,91.51,104.11,102.8
126.4,106.41,143.99,84.27,58.76,136.94,132.33,77.67,120.68,180.12,133.9,109.77,171.39,118.61,106.69,96.01,130.68,125.55
114.3,101.54,160.39,94.66,62.97,153,118.91,75.09,138.48,179.2,132.17,85.02,138.54,94.63,95.86,85.29,146.91,116.45
76.54,55.39,169.25,62.05,38.39,117.24,71.2,58.79,71.2,162.32,138.08,66.66,59.34,61.61,60.79,56.97,107.7091731,62.71
98.93,70.43,152.75,75.21,52.96,153.65,88.76,91.32,99.24,177.85,202.87,83.46,65.19,84.21,70.47,65.06,81.51,66.47
112.46,84.3,150.01,74.69,50.47,129.18,103.7,90.54,87.77,163.25,176.87,89.57,100.65,98.48,61.49,74.83,98.67,127
100.28,84.21,137.23,74.89,42.76,133.4,109.99,78.43,108.31,146.55,162.06,91.16,124.81,93.73,62.53,77.96,113.49,92.45
112.62,98.33,146.42,77.41,45.16,138.97,118,75.95,122.62,164.56,148.02,103.91,119.13,102.33,94.01,88.11,124.42,104.44
110.93,81,142.87,82.29,45.02,123.59,115.29,71.14,112.33,137.98,136.69,90.18,104.36,85.11,105.08,77.31,113.03,100.57
95.59,65.04,140.21,63.89,55.08,115.21,92.93,58,110.7,160.07,126.4,83.15,106.53,75.22,75.38,74.38,98.46,97.42
78.12,53.55,144.33,59.3,45.45,92.3,74.15,49.5,92.41,180.79,113.86,82.8540207,102.07,61.59,67.4,70.16,89.98,90.92
108.14,76.89,100.27,60.09,39.76,108.19,103.03,58.21,93.07,167.72,127.9,84.06,115.26,77.83,72.52,74.7,97.71,90.85
93.44,59.07,149.2,52.4,54.07,95.91,67.77,49.47,79.23,166.32,125.89,65.45,108.85,71.67,62.93,63.45,83.03,83.45
81.34,60.88,119.66,50.89,50.54,94.55,73.2,65.5,92.53,139.21,101.23,76.6,114.35,80.51,74.04,61.75,84.32,91.26
97.42,66.71,123.03,56.66,55.09,116.71,80.07,61.51,94.96,148.58,121.64,74.36,116.28,72.61,79.71,74.25,90.48,101.28
104.95,64.21,118.76,47.53,42.29,93.84,80.66,55.63,72.97,107.16,121.43,63.48,66.52,62.09,54.15,59.43,69.43,62.41
85.27,52.99,117.19,45.88,35.49,88.41,72.99,47.7,68.76,103.01,122.32,50.31,58.39,50.84,56.09,48.81,67.85,71.8
69.6,46.93,108.67,34.39,32.56,87.17,52.7,37.22,49.99,91.29,116.77,42.78,54.24,47.35,39.3,52.34,53.23,64.05
67.88,45.61,93.43,37.59,42.63,87.12,59.3,45.55,55.72,104.96,118.36,49.42,63.81,53.96,47.28,53.84,73.2,69.49
80.6,48.34,121.85,51.71,49.29,104.48,73.8,51.83,69.67,123.21,111.3,63.89,68.08,66.37,56.69,61.37,75.82,68.44
83.9,88.98,135.51,69.66,59.65,117.78,98.57,62.96,102.6,154.05,118.04,76.79,131.54,77.89,98.29,75.31,102.84,106.54
88.66,62.9,172.8,75.04,64.09,126.67,97.53,61.41,116.36,181.76,125.28,92.51,174.18,85.29,121.03,77.31,137.46,144.21
84.28,76.96,154.34,80.01,55.66,131.99,100.45,72.43,143.2,173.21,139.98,69.53,142.04,85.28,102.56,71.52,113.44,100.13
74.33,49.76,106.15,47.52,41.68,92.63,71.4,53.16,75.46,117.86,106.2,71.01,89.63,62.36,67.37,53.29,65.75,73.1
63.87,52.49,106.27,49.73031558,27.18,81.22,64.69,49.65,39.88,92.32,36.86,70.34,63.81,57.58,43.91,62.39,55.57,50.81
41.91,40.55,89.82,45.33937014,24.3,52.43,49.44,32.56,48.83,74.84,32.59,53.15,46.09,40.19,40.81,46.55,39.85,38.66
43.18,23.93,58.67,38.47,23.16,45.76,41.61,33.96,35.33,69.22,26.91,42.63,57.67,35.77,26.45,47.93,38.91,37.51
52,39.13,124.85,35.16,28.56,56.65,57.28,45.78,41.64,88.77,37.18,56.7,61.62,53.89,31.53,59.27,54.28,45.9
78.76,64.21,147.81,67.62,64.68,93,101.24,89.03,86.17,203.01,93.82,96.8,137.83,99.95,74.1,71.97,112.57,115.84
37.8,28.72,85.14,32.78,21.08,43.57,45.16,33.54,42.43,69.15,38,45.28,55.8,45.4,55.49,41.93,51.25,50.76
