Station,LAT,LONG
"Boriwali East,IITM",19.23241,72.86895
"Boriwali East,MPCB",19.2243333,72.8658113
Chakala-Andheri East,19.11074,72.86084
"Chhatrapati International Airport,Terminal 2",19.10078,72.87462
Colaba,18.91,72.82
"Deonar,IITM",19.04946,72.923
"Kandiwali East,MPCB",19.2058,72.8682
Khinipada-Bhandup West,19.1653323,72.922099
Kurla,19.0863,72.8888
Malad West,19.19709,72.82204
Mazgaon,18.96702,72.84214
Mulund West,19.175,72.9419
"Navy Nagar,Colaba",18.897756,72.81332
Powai,19.1375,72.915056
Sion,19.047,72.8746
Vile Parle West,19.10861,72.83622
"Worli,MPCB",18.99362,72.8128113
